feature,hold,net,beta,correlation,hedged,cost_of_hedging
market_context_trend_5d_1d,5,-1.939892059733936,-0.053341753688770366,-0.17669042524171966,-1.852080373383392,-0.08781168635054404
market_context_trend_5d_1d,20,-0.5831011714936268,-0.04350421917537367,-0.14212063767975677,-0.45473943289165686,-0.12836173860196998
market_context_trend_5d_1d,40,-0.3487649664225711,-0.035544770849090405,-0.10765042091282015,-0.24187068951510957,-0.10689427690746153
market_context_trend_5d_1d,60,-0.23818681639316722,-0.04384658782306941,-0.12184143572162803,-0.11453842265798915,-0.12364839373517807
market_context_trend_5d_1d,120,-0.13554531283739493,-0.04853370524717328,-0.11564120638729776,-0.017072336539633238,-0.1184729762977617
CDL_LOWER_WICK_RATIO_1d,1,-8.806980073278773,-0.0049218543103664416,-0.021069789131246772,-8.821538219245232,0.014558145966459435
CDL_LOWER_WICK_RATIO_1d,5,-1.9003262261104694,-0.004101262572549979,-0.016574246539724575,-1.8898316755317865,-0.01049455057868287
CDL_LOWER_WICK_RATIO_1d,20,-0.611751910347878,-0.012133379549957487,-0.04742745795818722,-0.5676185753473413,-0.04413333500053673
CDL_LOWER_WICK_RATIO_1d,40,-0.28136683782697086,-0.005972153184982632,-0.021673080116911218,-0.25953317704584505,-0.021833660781125808
CDL_LOWER_WICK_RATIO_1d,60,-0.19189929162961689,-0.003846602769506972,-0.012847409111498023,-0.1785477826846984,-0.013351508944918489
CDL_LOWER_WICK_RATIO_1d,120,-0.09727042297201066,-0.0005604321528196588,-0.0016798513053200266,-0.09553394018413391,-0.0017364827878767475
VELOCITY_5_1d,1,-6.06572680029219,-0.06177196473072443,-0.20539817836711677,-6.3233798403817945,0.2576530400896049
VELOCITY_5_1d,5,-1.920991517227609,-0.06258596550441617,-0.20687899435980941,-1.824262976897817,-0.09672854032979217
VELOCITY_5_1d,20,-0.581005814219385,-0.04644831233423545,-0.15187311481042454,-0.4438001579583527,-0.13720565626103232
VELOCITY_5_1d,40,-0.37506958964074955,-0.035842060415123486,-0.10945109030806638,-0.26605093043824424,-0.10901865920250531
VELOCITY_5_1d,60,-0.2511922729244602,-0.04954217126623305,-0.13890355857649844,-0.1108819951247071,-0.14031027779975314
VELOCITY_5_1d,120,-0.1494698789898909,-0.05388557135186841,-0.13110423709153532,-0.015438179604978505,-0.13403169938491238
volatility_10_1d,1,-3.343858215405276,0.26231879156073346,0.6735816443664644,-3.9791669320419336,0.6353087166366578
volatility_10_1d,5,-0.1987265063609004,0.27116838579078456,0.6598282040761364,-0.8430816428863762,0.6443551365254758
volatility_10_1d,20,0.4337097028584786,0.28133649195645605,0.6580482464541282,-0.24220092469794988,0.6759106275564285
volatility_10_1d,40,0.5322593521880842,0.32405781518980653,0.7023669851042766,-0.2462759354714958,0.7785352876595799
volatility_10_1d,60,0.5410281620868999,0.35980679186389986,0.7245608861946722,-0.2899759006231027,0.8310040627100026
volatility_10_1d,120,0.5346262537481483,0.4333452234933842,0.7769291824391749,-0.3795183875067234,0.9141446412548717
AATR_14_1d,1,-7.125201281482385,0.08687265602055412,0.34984110813698077,-7.382502006727695,0.2573007252453108
AATR_14_1d,5,-2.240187120031661,0.07215008525202211,0.28233638898534974,-2.5289930340550724,0.28880591402341116
AATR_14_1d,20,-1.2867381472278892,0.04151669113934961,0.1545474234513387,-1.4489960346613988,0.16225788743350966
AATR_14_1d,40,-1.0883927765969634,0.008845964684469415,0.02989911970976328,-1.1192087568397011,0.030815980242737684
AATR_14_1d,60,-0.9871150998207752,-0.0209716085714582,-0.0646473570170621,-0.9221503679526055,-0.06496473186816965
AATR_14_1d,120,-0.8929787501576475,-0.11221091772595906,-0.2893472133929216,-0.5924157083020909,-0.3005630418555566
volume,1,-5.099360494973772,0.08523736566687536,0.31441713728490067,-5.1737234001910855,0.07436290521731337
volume,5,-0.6584030759751804,0.07979062058538947,0.28163290272761066,-0.8797482174364635,0.22134514146128303
volume,20,0.09460261822596919,0.07156196647654503,0.2373860703213985,-0.1319927958200727,0.2265954140460419
volume,40,0.22745980187593381,0.07952041808797922,0.2357315827836047,-0.011158167344229298,0.23861796922016312
volume,60,0.25706356926971213,0.09400019275320509,0.25619072314857594,-0.007835268798977975,0.26489883806869013
volume,120,0.22945439246004842,0.06166569292004139,0.14615014365557769,0.08188610437251344,0.14756828808753497
volume_rs_1d,1,-6.502783485701842,0.00633836073834076,0.029777576053263907,-6.487853401021234,-0.014930084680607969
volume_rs_1d,5,-1.1739520697798924,0.003333432741575173,0.014907166535380167,-1.1839140953922151,0.009962025612322734
volume_rs_1d,20,-0.34566493906665563,-0.010754312587358206,-0.04401058156440454,-0.3046188706823064,-0.04104606838434921
volume_rs_1d,40,-0.2238753332288046,-0.019984117716133502,-0.07325685829752604,-0.14990862417301193,-0.07396670905579267
volume_rs_1d,60,-0.16916551756661996,-0.022385299965606422,-0.07256271534894847,-0.09514424068750835,-0.07402127687911161
volume_rs_1d,120,-0.12583336108607296,-0.05938776272114924,-0.16248191023548156,0.04083703363274011,-0.16667039471881306
context_pattern_id_1d,1,-1.7641434841812211,-0.0008353868557613156,-0.028549923275927626,-1.7819428448462775,0.017799360665056385
context_pattern_id_1d,5,-0.37730020567972244,-0.00032914937918858184,-0.011348088356194979,-0.36982320872360575,-0.007476996956116699
context_pattern_id_1d,20,-0.06714359132936033,-8.071296776687488e-05,-0.0026902831087923535,-0.0645991366990637,-0.002544454630296636
context_pattern_id_1d,40,-0.057678835255894734,0.001088322596415774,0.03234142574796913,-0.09204735251983216,0.03436851726393743
context_pattern_id_1d,60,-0.044259106518759264,0.0003354286581350372,0.00956919118705674,-0.054783880800528074,0.01052477428176881
context_pattern_id_1d,120,-0.06105522326507633,0.0007239570752335701,0.01671394224751112,-0.08405630630724988,0.023001083042173548
ROLLING_VOL_10_1d,1,-3.3429749427325484,0.26372300126041237,0.6746775578086671,-3.9824746599607184,0.63949971722817
ROLLING_VOL_10_1d,5,-0.2105754274782925,0.2714750311892781,0.6583979452095863,-0.857060647595973,0.6464852201176805
ROLLING_VOL_10_1d,20,0.43163620219562615,0.28150176014000866,0.6573410294098944,-0.2434707295768014,0.6751069317724275
ROLLING_VOL_10_1d,40,0.5321953348346435,0.32350525840374705,0.7013074695711674,-0.24426087844407435,0.7764562132787178
ROLLING_VOL_10_1d,60,0.5400885238718938,0.3600000652126077,0.7250002163841235,-0.2915225543796201,0.8316110782515138
ROLLING_VOL_10_1d,120,0.5327325708390848,0.4331530004990403,0.7762126623035951,-0.3795939763718067,0.9123265472108915
ROLLING_KURT_10_1d,1,-6.975217991395592,-0.005648435111192906,-0.025703185830133833,-6.992898937093438,0.01768094569784573
ROLLING_KURT_10_1d,5,-1.2398073734557538,-0.012601807919681239,-0.05496286438176885,-1.2052986844292335,-0.03450868902652027
ROLLING_KURT_10_1d,20,-0.2573820657067816,-0.005098579549710814,-0.021212119205011124,-0.23743761023249768,-0.019944455474283945
ROLLING_KURT_10_1d,40,-0.1076460172440699,0.005410156239114805,0.02038345532744635,-0.1282378981739886,0.02059188092991869
ROLLING_KURT_10_1d,60,-0.02604636157913739,0.008624920900465929,0.029451793098977438,-0.05646957254913422,0.03042321096999683
ROLLING_KURT_10_1d,120,0.01752277482799366,0.021674239468150683,0.06309733448559932,-0.047603033576705436,0.0651258084046991
fund_earnings_yield_1d,1,-3.3585574010010384,-0.027560116273294147,-0.2209204690817518,-3.579101912696829,0.22054451169579048
fund_earnings_yield_1d,5,-0.8244967642336676,-0.03261528849593424,-0.23798588243561597,-0.6874927113191122,-0.13700405291455542
fund_earnings_yield_1d,20,-0.33563247377477917,-0.045342638113046986,-0.2794976852333511,-0.07610774058000055,-0.25952473319477865
fund_earnings_yield_1d,40,-0.2757689359416548,-0.059237539469455196,-0.31342952712889943,0.04811717076884461,-0.3238861067104994
fund_earnings_yield_1d,60,-0.2319526581783599,-0.08387637780358621,-0.3703468357742626,0.17023572588704244,-0.40218838406540236
fund_earnings_yield_1d,120,-0.23400812742430796,-0.15276629104770928,-0.5038264434448335,0.3737842625689603,-0.6077923899932682
peer_return_excess_1d,1,-4.6538751243999545,-0.030647719526029817,-0.10838562678737086,-4.746653106523864,0.0927779821239092
peer_return_excess_1d,5,-0.9411033680604011,-0.023468280419805025,-0.07779646220490749,-0.8924561485538376,-0.04864721950656348
peer_return_excess_1d,20,-0.1978340834641646,-0.007777421773975985,-0.025161693464533452,-0.17412665041891198,-0.023707433045252607
peer_return_excess_1d,40,-0.09414794135315578,-0.003948656468605998,-0.011744749385736546,-0.08219265187294474,-0.011955289480211045
peer_return_excess_1d,60,-0.036494512829478555,0.009640614725953048,0.026744430464277644,-0.06395081501107927,0.027456302181600716
