path,category_guess,imported_by_count,risk_count,status,recommendation
core/error_handling/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/file_management/file_manager.py,utility_or_unknown,7,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
core/file_management/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/logging/exception_decorator.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/logging/logger.py,utility_or_unknown,400,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
core/logging/log_standards.py,model,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/logging/notifier.py,utility_or_unknown,3,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
core/logging/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/monitoring/memory_profiler.py,utility_or_unknown,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
core/security/path_validator.py,validator,4,5,ACTIVE_BUGGY_OR_RISKY,Used by source and has risk findings. Review/fix first.
core/security/secure_secrets_manager.py,utility_or_unknown,2,2,ACTIVE_BUGGY_OR_RISKY,Used by source and has risk findings. Review/fix first.
core/system/archive_manager.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/system/batch_processor.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/system/connection_registry.py,factory,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
core/system/version_manager.py,model,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/utils/lazy_loader.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/utils/math_utils.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/utils/path_utils.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/utils/prediction_utils.py,utility_or_unknown,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
core/validation/validators.py,validator,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/aaii_sentiment_collector.py,collector,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/alternative_me_collector.py,collector,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
data/collectors/base_collector.py,collector,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/bigquery_collector.py,collector,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/cftc_collector.py,collector,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/collector_factory.py,collector,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/custom_csv_collector.py,collector,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
data/collectors/economic_calendar_collector.py,collector,2,1,ACTIVE_BUGGY_OR_RISKY,Used by source and has risk findings. Review/fix first.
data/collectors/fear_greed_collector.py,collector,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/fred_collector.py,collector,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/free_google_trends_collector.py,collector,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/google_news_collector.py,collector,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/huggingface_collector.py,collector,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/insider_collector.py,collector,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/local_file_collector.py,collector,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
data/collectors/market_data_collector.py,collector,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
data/collectors/newsapi_collector.py,collector,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/put_call_ratio_collector.py,collector,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/reddit_sentiment_collector.py,collector,2,1,ACTIVE_BUGGY_OR_RISKY,Used by source and has risk findings. Review/fix first.
data/collectors/rss_collector.py,collector,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/sdmx_macro_collector.py,collector,1,2,ACTIVE_BUGGY_OR_RISKY,Used by source and has risk findings. Review/fix first.
data/collectors/sec_filings_collector.py,collector,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/synthetic_generator.py,collector,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/vix_collector.py,collector,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/wikimedia_attention_collector.py,collector,1,1,ACTIVE_BUGGY_OR_RISKY,Used by source and has risk findings. Review/fix first.
data/collectors/yf_collector.py,collector,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/collectors/__init__.py,collector,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
data/management/asset_manager.py,utility_or_unknown,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/management/data_cleaner.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
data/management/data_manager.py,utility_or_unknown,43,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
data/management/data_versioning.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
data/management/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
data/quality/data_freshness_checker.py,calculator,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
data/quality/news_price_availability_filter.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
data/quality/temporal_alignment_checker.py,validator,0,0,UNUSED_USEFUL_CANDIDATE,"Orphan statically, but category may contain reusable production logic."
data/quality/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
data/synthetic/data_generator.py,target_calculator,0,0,UNUSED_USEFUL_CANDIDATE,"Orphan statically, but category may contain reusable production logic."
data/validation/event_dataset_validator.py,target_calculator,0,3,UNUSED_USEFUL_CANDIDATE,"Orphan statically, but category may contain reusable production logic."
data/management/connectors/bigquery_connector.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
data/management/handlers/connection_handler.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
devtools/experimentation/run_hyperparameter_tuning.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
devtools/prototypes/live_trading_ticker_manager.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
ensembling/ensemble/ensemble_model.py,model,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
ensembling/ensemble/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
ensembling/ensemble/archive/adaptive_ensemble.py,model,0,1,UNUSED_RISKY_QUARANTINE,Not imported and risky. Do not integrate without tests.
features/analysis/importance_stability_analyzer.py,analyzer,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/analysis/market_conditions_analyzer.py,analyzer,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/analysis/news_decay_modeler.py,model,1,1,ACTIVE_BUGGY_OR_RISKY,Used by source and has risk findings. Review/fix first.
features/analysis/regime_adapter.py,utility_or_unknown,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/analysis/regime_importance_tracker.py,utility_or_unknown,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/analysis/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/builders/news_event_dataset_builder.py,target_calculator,0,1,UNUSED_USEFUL_CANDIDATE,"Orphan statically, but category may contain reusable production logic."
features/builders/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/advanced_analytics_enricher.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/base.py,enricher,13,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/enrichers/context_map_enricher.py,enricher,0,1,UNUSED_RISKY_QUARANTINE,Not imported and risky. Do not integrate without tests.
features/enrichers/decay_features_enricher.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/derived_features_enricher.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/economic_calendar_enricher.py,enricher,0,1,UNUSED_RISKY_QUARANTINE,Not imported and risky. Do not integrate without tests.
features/enrichers/finbert_sentiment.py,enricher,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/enrichers/hype_enricher.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/improved_sentiment_enricher.py,enricher,0,2,UNUSED_RISKY_QUARANTINE,Not imported and risky. Do not integrate without tests.
features/enrichers/keyword_entity_enricher.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/macro_features_enricher.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/market_context_enricher.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/news_impact_enricher.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/news_quality_enricher.py,enricher,0,1,UNUSED_RISKY_QUARANTINE,Not imported and risky. Do not integrate without tests.
features/enrichers/nlp_features_enricher.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/sentiment_features_enricher.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/significance_features_enricher.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/technical_analysis_enricher.py,calculator,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/time_features_enricher.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/volatility_enricher.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/volume_enricher.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/enrichers/__init__.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/monitoring/feature_drift_detector.py,calculator,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/nlp/deduplication_service.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/nlp/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/selection/enhanced_smart_selector.py,calculator,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/selection/smart_selector.py,selector,1,2,ACTIVE_BUGGY_OR_RISKY,Used by source and has risk findings. Review/fix first.
features/selection/volatility_driver_selector.py,selector,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/selection/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/transformers/transformers.py,utility_or_unknown,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/transformers/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/utils/adaptive_indicators.py,utility_or_unknown,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/utils/datetime_utils.py,utility_or_unknown,5,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/utils/technical_indicators_lib.py,utility_or_unknown,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/utils/time_utils.py,utility_or_unknown,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/utils/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/validation/feature_leakage_guard.py,validator,1,3,ACTIVE_BUGGY_OR_RISKY,Used by source and has risk findings. Review/fix first.
features/validation/redundancy_detector.py,detector,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/validation/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/analysis/decay/decay_function_registry.py,factory,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/analysis/decay/decay_model_fitter.py,model,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/analysis/decay/decay_predictor.py,utility_or_unknown,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/builders/news_event/candle_seeker.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/builders/news_event/enricher.py,enricher,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/builders/news_event/filter.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/nlp/extractors/entity_extractor.py,model,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/nlp/extractors/keyword_extractor.py,utility_or_unknown,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/nlp/extractors/news_ticker_detector.py,detector,0,0,UNUSED_USEFUL_CANDIDATE,"Orphan statically, but category may contain reusable production logic."
features/nlp/models/finbert_pipeline.py,model,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/nlp/models/roberta_sentiment.py,model,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/nlp/models/sentiment_core.py,model,22,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/nlp/processors/article_processor.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/nlp/processors/news_analyzer.py,analyzer,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/nlp/processors/news_harmonizer.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/nlp/processors/news_processing.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/nlp/scoring/keyword_features.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/nlp/scoring/news_score.py,utility_or_unknown,23,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/nlp/scoring/news_scorer.py,utility_or_unknown,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/nlp/scoring/simple_sentiment.py,analyzer,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/nlp/scoring/summarizer.py,model,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
features/nlp/utils/gdelt_utils.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
features/nlp/utils/mention_utils.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
integrations/data/bigquery_client.py,utility_or_unknown,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
integrations/infra/github_actions.py,model,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
main/modes/backtest.py,orchestrator,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
main/modes/base.py,utility_or_unknown,6,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
main/modes/historical_replay.py,utility_or_unknown,0,2,UNUSED_RISKY_QUARANTINE,Not imported and risky. Do not integrate without tests.
main/modes/intelligent.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
main/modes/monster_test.py,model,0,4,UNUSED_RISKY_QUARANTINE,Not imported and risky. Do not integrate without tests.
main/modes/predict.py,utility_or_unknown,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
main/modes/shadow_battle.py,model,0,6,UNUSED_RISKY_QUARANTINE,Not imported and risky. Do not integrate without tests.
main/modes/train.py,utility_or_unknown,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
main/modes/training_data_pipeline.py,orchestrator,1,3,ACTIVE_BUGGY_OR_RISKY,Used by source and has risk findings. Review/fix first.
main/modes/web_ui.py,calculator,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
