file,stage_symbols,imported_by_count,has_execute_or_run,status,recommendation
pipeline/guards/macro_release_timing_guard.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/guards/safe_feature_combiner.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/guards/temporal_leakage_guard.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/guards/temporal_target_guard.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/guards/timeframe_alignment_guard.py,,3,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/guards/__init__.py,,478,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/cache_manager.py,,31,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/champion_selector.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/colab_manager.py,,6,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/colab_workflow_manager.py,,1,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/component_factory.py,OrchestratorComponentFactory,1,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/context_builder.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/contracts.py,HybridPipelineRequest;HybridPipelineConfig;HybridFinalStagesRequest,6,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/data_batch_manager.py,,1,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/data_cache_manager.py,,4,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/data_components_context.py,,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
pipeline/hybrid/data_manager.py,,54,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/data_processor.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/data_utils.py,,4,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/feature_loader.py,,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
pipeline/hybrid/feature_processor.py,,5,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/feature_selection_manager.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/feature_selection_validator.py,,3,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/final_stages_orchestrator.py,FinalStagesOrchestrator,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/hybrid_dataclasses.py,,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
pipeline/hybrid/light_models_trainer.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/metadata_manager.py,,4,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/model_training_orchestrator.py,ModelTrainingOrchestrator,1,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/orchestrator_config.py,PipelineConfig;OrchestratorConfigManager,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/orchestrator_interface.py,OrchestratorInterface,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid/pipeline_cache_checker.py,PipelineCacheChecker,1,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
