feature,measured,dtype,history,coverage,uniq,mode_share,varies,verdict
market_context_price_to_ma20_1d,True,float32,623398,1.0,620864,8.662202958623544e-05,1.0,can carry a cross-sectional signal
market_context_rsi_current_1d,True,float32,623398,1.0,597936,6.576857801917876e-05,1.0,can carry a cross-sectional signal
market_context_trend_20d_1d,True,float32,623398,1.0,621187,8.180969460922236e-05,1.0,can carry a cross-sectional signal
market_context_trend_5d_1d,True,float32,623398,1.0,568286,0.0007138296882569402,1.0,can carry a cross-sectional signal
market_context_trend_alignment_1d,True,float32,623398,1.0,3,0.5838036054013648,0.9995588235294117,can carry a cross-sectional signal
market_context_volatility_20d_1d,True,float32,623398,1.0,614677,7.539324797320492e-05,1.0,can carry a cross-sectional signal
market_context_volatility_5d_1d,True,float32,623398,1.0,616104,0.0002085345156705668,1.0,can carry a cross-sectional signal
market_context_volatility_ratio_1d,True,float32,623398,1.0,611448,0.00013314126769736187,1.0,can carry a cross-sectional signal
market_context_volume_ratio_1d,True,float32,623398,1.0,603436,0.00011710015110731828,1.0,can carry a cross-sectional signal
market_return_1d,True,float32,623398,1.0,617442,1.924933990805232e-05,1.0,can carry a cross-sectional signal
obv_1d,True,float32,623398,1.0,612701,6.576857801917876e-05,1.0,can carry a cross-sectional signal
open,True,float32,623398,1.0,578115,0.00013314126769736187,1.0,can carry a cross-sectional signal
peer_breadth_1d,True,float32,617434,0.990433078065698,65,0.1412377679233732,0.9994117647058823,can carry a cross-sectional signal
peer_breadth_excess_1d,True,float32,617434,0.990433078065698,28594,0.0035890475743156356,0.9995588235294117,can carry a cross-sectional signal
peer_count_1d,True,float32,623398,1.0,15,0.2542837801853711,1.0,can carry a cross-sectional signal
peer_divergence_1d,True,float32,617434,0.990433078065698,614657,1.7815669367090247e-05,1.0,can carry a cross-sectional signal
peer_return_1d,True,float32,617434,0.990433078065698,614208,0.000513415199033419,1.0,can carry a cross-sectional signal
peer_return_excess_1d,True,float32,617434,0.990433078065698,614621,9.71763783659468e-06,1.0,can carry a cross-sectional signal
peer_volatility_1d,True,float32,617434,0.990433078065698,607504,0.0035032084400923825,0.9998529411764706,can carry a cross-sectional signal
price_volume_trend_1d,True,float32,623398,1.0,614584,0.012422240687329764,1.0,can carry a cross-sectional signal
returns_1d,True,float32,623398,1.0,609421,0.012407803682398725,1.0,can carry a cross-sectional signal
significance_intensity_7d_1d,True,float32,623398,1.0,8,0.40486815806274645,1.0,can carry a cross-sectional signal
significant_events_30d_1d,True,float32,623398,1.0,31,0.1332583678484692,1.0,can carry a cross-sectional signal
significant_events_7d_1d,True,float32,623398,1.0,8,0.40486815806274645,1.0,can carry a cross-sectional signal
state_AATR_14_1d,True,float64,623398,1.0,3,0.49546357222833565,0.9998529411764706,can carry a cross-sectional signal
state_ABB_Lower_1d,True,float64,623398,1.0,3,0.5005678555272876,0.9992647058823529,can carry a cross-sectional signal
state_ABB_Mid_1d,True,float64,623398,1.0,3,0.3904006750101861,0.9988235294117647,can carry a cross-sectional signal
state_ABB_Upper_1d,True,float64,623398,1.0,3,0.46875030077093605,0.9992647058823529,can carry a cross-sectional signal
state_ACCELERATION_10_1d,True,float64,623398,1.0,3,0.7488346128797333,0.9976470588235294,can carry a cross-sectional signal
state_ACCELERATION_5_1d,True,float64,623398,1.0,3,0.7530774882177999,0.9986764705882353,can carry a cross-sectional signal
state_AEMA_20_1d,True,float64,623398,1.0,3,0.40133750830127785,0.9989705882352942,can carry a cross-sectional signal
state_ARSI_14_1d,True,float64,623398,1.0,3,0.497786325910574,0.9998529411764706,can carry a cross-sectional signal
state_ATR_14_1d,True,float64,623398,1.0,3,0.41362500360925125,0.9964705882352941,can carry a cross-sectional signal
state_AUTOCORR_1d,True,float64,623398,1.0,3,0.5774657602366385,1.0,can carry a cross-sectional signal
state_BB_Lower_1d,True,float64,623398,1.0,3,0.46156388053859654,0.9994117647058823,can carry a cross-sectional signal
state_BB_Middle_1d,True,float64,623398,1.0,3,0.435615770342542,0.9970588235294118,can carry a cross-sectional signal
state_BB_Upper_1d,True,float64,623398,1.0,3,0.4543469821847359,0.9982352941176471,can carry a cross-sectional signal
state_CCI_1d,True,float64,623398,1.0,3,0.7333661641519543,0.9988235294117647,can carry a cross-sectional signal
state_CDL_BODY_RATIO_1d,True,float64,623398,1.0,3,0.6223488044555805,1.0,can carry a cross-sectional signal
state_CDL_LOWER_WICK_RATIO_1d,True,float64,623398,1.0,3,0.5996859149371669,1.0,can carry a cross-sectional signal
state_CDL_UPPER_WICK_RATIO_1d,True,float64,623398,1.0,3,0.5698285846281188,1.0,can carry a cross-sectional signal
state_CURRENT_DRAWDOWN_1d,True,float64,623398,1.0,3,0.5415497001915309,0.9995588235294117,can carry a cross-sectional signal
state_EMA_100_1d,True,float64,623398,1.0,3,0.5328570191113863,0.9777941176470588,can carry a cross-sectional signal
state_EMA_10_1d,True,float64,623398,1.0,3,0.3633553524393726,0.9961764705882353,can carry a cross-sectional signal
state_EMA_200_1d,True,float64,623398,1.0,3,0.575412497313113,0.9627941176470588,can carry a cross-sectional signal
state_EMA_20_1d,True,float64,623398,1.0,3,0.4111995867808366,0.9933823529411765,can carry a cross-sectional signal
state_EMA_50_1d,True,float64,623398,1.0,3,0.4833028017414236,0.985735294117647,can carry a cross-sectional signal
state_EMA_5_1d,True,float64,623398,1.0,3,0.40504942268021393,0.9979411764705882,can carry a cross-sectional signal
state_HURST_EXPONENT_1d,True,float64,623398,1.0,3,0.5813894173545632,0.9998529411764706,can carry a cross-sectional signal
state_KURTOSIS_1d,True,float64,623398,1.0,3,0.5792559488480874,0.9960294117647058,can carry a cross-sectional signal
state_LAG_10_1d,True,float64,623398,1.0,3,0.4529305515898351,1.0,can carry a cross-sectional signal
state_LAG_1_1d,True,float64,623398,1.0,3,0.45422506969865156,0.9998529411764706,can carry a cross-sectional signal
state_LAG_20_1d,True,float64,623398,1.0,3,0.45162640881106453,1.0,can carry a cross-sectional signal
state_LAG_5_1d,True,float64,623398,1.0,3,0.4537085457444522,1.0,can carry a cross-sectional signal
state_LEVEL_DIST_RESISTANCE_20_1d,True,float64,623398,1.0,3,0.657506119685979,0.9972058823529412,can carry a cross-sectional signal
state_LEVEL_DIST_SUPPORT_20_1d,True,float64,623398,1.0,3,0.6445497098162009,0.9998529411764706,can carry a cross-sectional signal
state_LEVEL_POSITION_20_1d,True,float64,623398,1.0,3,0.6201720249343117,0.9998529411764706,can carry a cross-sectional signal
state_MACD_1d,True,float64,623398,1.0,3,0.6141004623049802,1.0,can carry a cross-sectional signal
state_MACD_Histogram_1d,True,float64,623398,1.0,3,0.7451467601756823,0.9991176470588236,can carry a cross-sectional signal
state_MACD_Signal_1d,True,float64,623398,1.0,3,0.5534730621529104,1.0,can carry a cross-sectional signal
state_MARKET_PREMIUM_1d,True,float64,623398,1.0,3,0.721510174880253,0.9997058823529412,can carry a cross-sectional signal
state_MAX_DRAWDOWN_1d,True,float64,623398,1.0,3,0.5467085232868889,0.9995588235294117,can carry a cross-sectional signal
state_MOMENTUM_ZSCORE_1d,True,float64,623398,1.0,3,0.7134687631336643,0.9982352941176471,can carry a cross-sectional signal
state_ROLLING_KURT_10_1d,True,float64,623398,1.0,3,0.7642453135877882,0.9997058823529412,can carry a cross-sectional signal
state_ROLLING_KURT_20_1d,True,float64,623398,1.0,3,0.7585298637467557,1.0,can carry a cross-sectional signal
state_ROLLING_SKEW_10_1d,True,float64,623398,1.0,3,0.7537415904446276,0.9995588235294117,can carry a cross-sectional signal
state_ROLLING_SKEW_20_1d,True,float64,623398,1.0,3,0.7511252843287916,0.9998529411764706,can carry a cross-sectional signal
state_ROLLING_VOL_10_1d,True,float64,623398,1.0,3,0.6281364393212683,0.9986764705882353,can carry a cross-sectional signal
state_ROLLING_VOL_20_1d,True,float64,623398,1.0,3,0.6521259291816784,0.9970588235294118,can carry a cross-sectional signal
state_RSI_14_1d,True,float64,623398,1.0,3,0.4502532892309568,0.9983823529411765,can carry a cross-sectional signal
state_RSI_VELOCITY_1d,True,float64,623398,1.0,3,0.7432378673014671,1.0,can carry a cross-sectional signal
state_SHARPE_RATIO_1d,True,float64,623398,1.0,3,0.5120821690156209,0.9997058823529412,can carry a cross-sectional signal
state_SKEWNESS_1d,True,float64,623398,1.0,3,0.5899938722934626,0.9948529411764706,can carry a cross-sectional signal
state_SMA_100_1d,True,float64,623398,1.0,3,0.5690120917936856,0.9885294117647059,can carry a cross-sectional signal
state_SMA_10_1d,True,float64,623398,1.0,3,0.3757567396751353,0.9985294117647059,can carry a cross-sectional signal
state_SMA_200_1d,True,float64,623398,1.0,3,0.6198447861558747,0.9776470588235294,can carry a cross-sectional signal
