iter	Passed	Remaining
614	3754	2350
615	3758	2343
616	3763	2336
617	3768	2329
618	3772	2322
619	3777	2315
620	3781	2308
621	3786	2300
622	3791	2294
623	3796	2287
624	3801	2280
625	3806	2274
626	3811	2267
627	3815	2260
628	3821	2253
629	3826	2247
630	3830	2240
631	3837	2234
632	3843	2228
633	3847	2221
634	3853	2214
635	3857	2208
636	3862	2201
637	3868	2195
638	3873	2188
639	3878	2181
640	3883	2175
641	3888	2168
642	3893	2161
643	3898	2155
644	3902	2147
645	3906	2140
646	3912	2134
647	3917	2127
648	3921	2120
649	3927	2114
650	3931	2107
651	3936	2100
652	3942	2094
653	3946	2087
654	3950	2080
655	3956	2074
656	3960	2067
657	3965	2060
658	3969	2054
659	3974	2047
660	3978	2040
661	3982	2033
662	3988	2027
663	3992	2020
664	3996	2013
665	4002	2007
666	4006	2000
667	4010	1993
668	4015	1986
669	4020	1980
670	4025	1973
671	4029	1966
672	4034	1960
673	4038	1953
674	4042	1946
675	4047	1940
676	4051	1933
677	4055	1926
678	4061	1919
679	4065	1913
680	4069	1906
681	4073	1899
682	4078	1892
683	4082	1886
684	4086	1879
685	4091	1872
686	4096	1866
687	4100	1859
688	4105	1853
689	4110	1846
690	4114	1840
691	4119	1833
692	4124	1827
693	4128	1820
694	4133	1813
695	4138	1807
696	4142	1801
697	4146	1794
698	4151	1787
699	4156	1781
700	4160	1774
701	4164	1768
702	4170	1761
703	4174	1755
704	4178	1748
705	4184	1742
706	4188	1735
707	4192	1729
708	4197	1722
709	4201	1716
710	4206	1709
711	4210	1703
712	4215	1696
713	4219	1690
714	4223	1683
715	4229	1677
716	4233	1671
717	4237	1664
718	4243	1658
719	4248	1652
720	4252	1645
721	4257	1639
722	4262	1633
723	4267	1626
724	4272	1620
725	4277	1614
726	4282	1608
727	4287	1602
728	4292	1595
729	4296	1589
730	4300	1582
731	4305	1576
732	4309	1569
733	4313	1563
734	4319	1557
735	4324	1551
736	4329	1544
737	4333	1538
738	4337	1532
739	4342	1525
740	4346	1519
741	4351	1512
742	4357	1507
743	4362	1500
744	4367	1494
745	4373	1489
746	4378	1482
747	4383	1476
748	4389	1471
749	4394	1464
750	4401	1459
751	4407	1453
752	4412	1447
753	4418	1441
754	4423	1435
755	4429	1429
756	4435	1423
757	4440	1417
758	4446	1411
759	4451	1405
760	4456	1399
761	4463	1393
762	4467	1387
763	4472	1381
764	4478	1375
765	4483	1369
766	4488	1363
767	4494	1357
768	4499	1351
769	4505	1345
770	4510	1339
771	4516	1333
772	4522	1328
773	4527	1322
774	4532	1315
775	4538	1310
776	4543	1304
777	4548	1297
778	4554	1292
779	4558	1285
780	4564	1279
781	4570	1274
782	4575	1268
783	4580	1261
784	4586	1256
785	4591	1250
786	4599	1244
787	4604	1238
788	4609	1232
789	4615	1226
790	4620	1220
791	4625	1214
792	4631	1208
793	4635	1202
794	4642	1197
795	4648	1191
796	4653	1185
797	4659	1179
798	4664	1173
799	4669	1167
800	4675	1161
801	4680	1155
802	4685	1149
803	4691	1143
804	4696	1137
805	4702	1131
806	4707	1125
807	4712	1119
808	4718	1114
809	4723	1108
810	4728	1101
811	4734	1096
812	4739	1090
813	4744	1084
814	4750	1078
815	4755	1072
816	4759	1066
817	4765	1060
818	4770	1054
819	4775	1048
820	4780	1042
821	4785	1036
822	4790	1030
823	4795	1024
824	4800	1018
825	4805	1012
826	4811	1006
827	4816	1000
828	4820	994
829	4826	988
830	4832	982
831	4836	976
832	4843	971
833	4848	964
834	4852	958
835	4858	953
836	4862	946
837	4867	941
838	4873	935
839	4878	929
840	4882	923
841	4888	917
842	4893	911
843	4899	905
844	4904	899
845	4909	893
846	4914	887
847	4920	881
848	4924	875
849	4930	870
850	4935	864
851	4940	858
852	4946	852
853	4951	846
854	4955	840
855	4961	834
856	4967	828
857	4971	822
858	4979	817
859	4984	811
860	4989	805
861	4994	799
862	4999	793
863	5005	787
864	5010	782
865	5015	776
866	5021	770
867	5026	764
868	5031	758
869	5037	752
870	5042	746
871	5047	740
872	5053	735
873	5058	729
874	5063	723
875	5069	717
876	5074	711
877	5079	705
878	5085	700
879	5089	694
880	5094	688
881	5100	682
882	5105	676
883	5109	670
884	5115	664
885	5119	658
886	5124	652
887	5131	647
888	5136	641
889	5142	635
890	5147	629
891	5151	623
892	5158	618
893	5162	612
894	5168	606
895	5173	600
896	5178	594
897	5183	588
898	5189	583
899	5195	577
900	5199	571
901	5205	565
